"num_item_id","definition","type","category","8","9","10","11","12","13","14","15","16","17","18"
90,"truck","word","vehicles",0.06,0.06,0.08,0.2,0.28,0.39,0.36,0.45,0.67,0.74,0.81
91,"ball","word","toys",0.31,0.36,0.46,0.71,0.77,0.89,0.92,0.93,0.98,0.98,0.98
92,"balloon","word","toys",0.09,0.17,0.16,0.36,0.48,0.64,0.65,0.75,0.85,0.91,0.95
93,"block","word","toys",0.09,0.11,0.11,0.18,0.34,0.4,0.39,0.56,0.67,0.79,0.7
94,"book","word","toys",0.26,0.35,0.37,0.61,0.7,0.86,0.78,0.88,0.97,0.97,0.98
95,"bubbles","word","toys",0.09,0.04,0.07,0.17,0.23,0.4,0.41,0.5,0.71,0.79,0.76
96,"doll","word","toys",0.11,0.11,0.15,0.28,0.29,0.4,0.46,0.56,0.61,0.66,0.69
97,"pen","word","toys",0.06,0.03,0.03,0.07,0.12,0.18,0.23,0.4,0.46,0.51,0.73
98,"toy (object)","word","toys",0.26,0.21,0.27,0.36,0.45,0.49,0.59,0.66,0.74,0.81,0.77
99,"apple","word","food_drink",0.06,0.13,0.12,0.21,0.2,0.36,0.45,0.57,0.72,0.78,0.81
100,"banana","word","food_drink",0.06,0.18,0.29,0.52,0.47,0.69,0.66,0.76,0.9,0.9,0.93
101,"bread","word","food_drink",0.06,0.05,0.1,0.19,0.24,0.39,0.43,0.51,0.62,0.62,0.7
102,"butter","word","food_drink",0,0,0.01,0,0.02,0.03,0.06,0.18,0.16,0.24,0.25
103,"cake","word","food_drink",0.06,0.03,0.03,0.03,0.1,0.1,0.16,0.24,0.26,0.42,0.38
104,"candy","word","food_drink",0.06,0.03,0.03,0.04,0.06,0.09,0.21,0.28,0.29,0.44,0.5
105,"carrots","word","food_drink",0.03,0.07,0.05,0.18,0.14,0.26,0.26,0.37,0.46,0.43,0.55
106,"cereal","word","food_drink",0.09,0.15,0.17,0.22,0.34,0.4,0.45,0.56,0.66,0.67,0.75
107,"cheerios","word","food_drink",0.17,0.21,0.24,0.54,0.46,0.62,0.61,0.6,0.73,0.74,0.67
108,"cheese","word","food_drink",0.03,0.06,0.09,0.28,0.36,0.45,0.52,0.65,0.73,0.8,0.89
109,"chicken (food)","word","food_drink",0.09,0.05,0.05,0.09,0.15,0.18,0.25,0.38,0.39,0.35,0.4
110,"coffee","word","food_drink",0.03,0.01,0.01,0,0.05,0.07,0.06,0.17,0.23,0.22,0.43
111,"cookie","word","food_drink",0.2,0.15,0.29,0.43,0.47,0.61,0.6,0.77,0.84,0.83,0.82
112,"cracker","word","food_drink",0.23,0.22,0.23,0.44,0.48,0.62,0.63,0.69,0.85,0.88,0.89
113,"drink (beverage)","word","food_drink",0.11,0.18,0.26,0.39,0.45,0.62,0.57,0.7,0.84,0.81,0.85
114,"egg","word","food_drink",0.03,0.05,0.02,0.04,0.1,0.16,0.25,0.34,0.37,0.44,0.55
115,"fish (food)","word","food_drink",0.03,0.05,0.01,0.03,0.06,0.09,0.1,0.26,0.3,0.26,0.42
116,"food","word","food_drink",0.14,0.14,0.19,0.16,0.26,0.32,0.4,0.43,0.56,0.6,0.65
